Macrotrends Data Download,,,
,,,
Calgary, Canada Metro Area Population 1950-2022,,
Original Source: United Nations - World Population Prospects,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
date, Population, Annual Change,Year
1950-12-31,132000,,1950
1951-12-31,141000,6.82,1951
1952-12-31,151000,7.09,1952
1953-12-31,162000,7.28,1953
1954-12-31,174000,7.41,1954
1955-12-31,186000,6.9,1955
1956-12-31,199000,6.99,1956
1957-12-31,213000,7.04,1957
1958-12-31,228000,7.04,1958
1959-12-31,245000,7.46,1959
1960-12-31,262000,6.94,1960
1961-12-31,280000,6.87,1961
1962-12-31,289000,3.21,1962
1963-12-31,299000,3.46,1963
1964-12-31,310000,3.68,1964
1965-12-31,320000,3.23,1965
1966-12-31,332000,3.75,1966
1967-12-31,345000,3.92,1967
1968-12-31,359000,4.06,1968
1969-12-31,374000,4.18,1969
1970-12-31,389000,4.01,1970
1971-12-31,404000,3.86,1971
1972-12-31,417000,3.22,1972
1973-12-31,430000,3.12,1973
1974-12-31,443000,3.02,1974
1975-12-31,457000,3.16,1975
1976-12-31,472000,3.28,1976
1977-12-31,494000,4.66,1977
1978-12-31,518000,4.86,1978
1979-12-31,542000,4.63,1979
1980-12-31,568000,4.8,1980
1981-12-31,594000,4.58,1981
1982-12-31,609000,2.53,1982
1983-12-31,624000,2.46,1983
1984-12-31,640000,2.56,1984
1985-12-31,656000,2.5,1985
1986-12-31,673000,2.59,1986
1987-12-31,688000,2.23,1987
1988-12-31,705000,2.47,1988
1989-12-31,721000,2.27,1989
1990-12-31,738000,2.36,1990
1991-12-31,755000,2.3,1991
1992-12-31,768000,1.72,1992
1993-12-31,782000,1.82,1993
1994-12-31,795000,1.66,1994
1995-12-31,809000,1.76,1995
1996-12-31,825000,1.98,1996
1997-12-31,849000,2.91,1997
1998-12-31,875000,3.06,1998
1999-12-31,901000,2.97,1999
2000-12-31,927000,2.89,2000
2001-12-31,955000,3.02,2001
2002-12-31,979000,2.51,2002
2003-12-31,1004000,2.55,2003
2004-12-31,1030000,2.59,2004
2005-12-31,1056000,2.52,2005
2006-12-31,1083000,2.56,2006
2007-12-31,1109000,2.4,2007
2008-12-31,1135000,2.34,2008
2009-12-31,1162000,2.38,2009
2010-12-31,1190000,2.41,2010
2011-12-31,1220000,2.52,2011
2012-12-31,1253000,2.7,2012
2013-12-31,1288000,2.79,2013
2014-12-31,1324000,2.8,2014
2015-12-31,1360000,2.72,2015
2016-12-31,1398000,2.79,2016
2017-12-31,1437000,2.79,2017
2018-12-31,1477000,2.78,2018
2019-12-31,1513000,2.44,2019
2020-12-31,1547000,2.25,2020
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
